tweet,tweet translated,sentiment
Coś ci się przypomina?,Something reminds you?,negative
To nie oni. To PiS tak robił. Po nigdy nie podniesie ręki na demokracje.,It's not them. PiS did so. PO will never raise his hand to democracy.,negative
A do czyich ? Działki wałki i upychanie swoich tępych pociotków w każdym możliwym miejscu. Afera goni aferę. Pompowanie publicznych pieniędzy w kościół. Mało ?,And to whose? Plots rollers and stuffing your blunt pocotes in every possible place. The scandal is chasing the scandal. Pumping public money into the church. Little ?,negative
Już czekałem na zdanie ze winny PiS :),I was already waiting for the opinion that the PiS was guilty :),negative
"No tak-jaka partyjka, taki zamaszek stanu.","Well, like a party, such a tightness of the state.",negative
"ty Łysa szmato komunistyczna kto blokowal mownice i ""pucz"" robil z tymi idiotkami z peło?? Jak mozna taka kurwą byc jak ty budka.","You bald communist rag who blocked mysteries and ""coup"" with these idiots from the full ?? How can you be like you like you.",negative
Oj Budka BuTka..srogo zabłysnąłeś. Z resztą jak zawsze.,Oh booth shoes ... you shone. As always.,negative
On to wie ale musi tak gadać by wygrać wybory.,He knows it but he has to talk to win the election.,negative
Borys Budka ma małego fiutka. Ps Donald Tusk.😂😂,Borys Budka has a small dick. PS Donald Tusk.app,negative
"Boria, ty też jesteś popychadłem globalistów ?","Boria, are you also a crazy of globalists?",negative
Ty Ciamajdan robiłeś w sejmie :D Też koks ćpałeś jak koledzy?,You were doing in the Sejm: D You also got a coke like your colleagues?,negative
Łysa pało. Zapomniałeś 2016 rok. Co robiliście?. Zamilcz nędzna kreaturo.,Bald. You forgot 2016. What were you doing?. Discuss the miserable creator.,negative
CIAMAJDAN sobie przypomnij!,"CIAMIDAN, remember!",negative
Nie wiem jak można być tak prymitywnym kłamcą jak Budka czy On myśli że ludzie mają amnezję? Pewnie uważa że wszyscy są na poziomie targowickiego elektoratu.,I don't know how you can be such a primitive liar as a booth or he thinks that people have amnesia? He probably thinks that everyone is at the level of the Targowice electorate.,negative
"Budką mjanuje się Bogiem, Świętym wszystkich Świętych.A co to za rużnica czy ktoś prawy czy lewy, jak chce zrobić rozrubę to ja zrobi, potrzebuje tylko determinacji. To słowa Tiska, a poniekąd i twoje, bo jesteście tacy sami.","Budy with God, all saints' saints. And what is the rug up or right or left, if he wants to rose, he will do it, he only needs determination. These are the words of the Tiska, and in a way and yours, because you are the same.",negative
"Łysolu, ty jesteś idiotą.","Baldness, you are an idiot.",negative
"Dokładnie tak, jak zachowywała się Platforma ,,Obywatelska"" po wyborach w 2015 r, oraz przed wyborami 2023. Cynizm czy bezczelność ? Nie zasługujecie by rządzić Polską moją Ojczyzną, jesteście partią zdrady narodowej, kto we własne gniazdo brudzi niech się o szacunek nie łudzi.","Exactly as the ""Civic"" Platform behaved after the 2015 election, and before the 2023 elections. Cynism or insolence? You don't deserve to rule Poland with my homeland, you are a party of national betrayal, who dirty in your own nest, let him not delude respect for respect .",negative
Brawo panie Marku 👍,Well done Mr. Marek ►,positive
Nie identyfikuję się z metodami UPA.,I do not identify with UPA methods.,negative
kto podpalił budkę pod rosyjska ambasadą?,Who set fire to the booth for the Russian embassy?,negative
"Żeby rządzić krajem, trzeba wygrać wybory. Wy nie będziecie rządzić ""za zasługi"".","To rule the country, you have to win the election. You will not rule ""for merits"".",negative
"Taki ""enej ""  ......","Such ""Enej"" ......",negative
"Takie ciaptaki jak wy bez programu, tylko na nienawiści chcieli obalić demokratyczny rząd. Pan już nawet żałosny nie jest, Polacy pamiętają.","Such caiptaki as you without a program, only on hatred they wanted to overthrow the democratic government. The Lord is not even pathetic anymore, Poles remember.",negative
No wy złodzieje zasługujecie 😂na szubienice,"Well, you deserve the thieves 😂 Nad gallows",negative
Wyniki wyborów zostały zafałszowane przez Telewizje Publiczną. Jest to opinia OBWE oraz ONZ,The election results were falsified by public television. This is the OSCE and UN opinion,positive
"Z prawa idioci, z ekonomii idioci, myla Krajowa Rade Sądownictwa i Krajowym Rejestrem Sądowym, Konstytucji przeczytać nie umieją, nie wiedza co to praworządność.","From the right of idiots, from economics, Idiots, confusing the National Council of Judiciary and the National Court Register, they cannot read the constitution, they do not know what the rule of law is.",positive
Pamiętamy ten obłęd totalnej opozycji. Są tacy sami jak ci teraz w Brazylii.,We remember this insanity of total opposition. They are the same as those in Brazil now.,negative
Wysyp trociny ze swej pustej dyni ☝️,Flash sawdust from your empty pumpkin ☝️,negative
Drugi kraj na świecie gdzie rządzą idioci? No dobra 3 bo jeszcze Białoruś,A second country in the world where idiots rule? Okay 3 because Belarus is still,neutral
Xd,XD,negative
I zapowiada to uczciwy człowieczek,And it announces an honest man,negative
Byłeś i co było przed blokada mównicy co zrobił marszałek?,You were and what was the marshal from the marshal's lock?,neutral
Byłem na sali nie kłam.,I was not lying in the room.,neutral
I nie porównywał bym tego do USA i Brazylii.,And I wouldn't compare it to the USA and Brazil.,negative
"Uspokój się bo zawału dostaniesz. Nie nie oni ludzie, nie było blokowania obrad poza tym wtedy PiS złamał prawo z głosowaniem budżetu.","Calm down because you'll get a heart attack. No, people, there was no blocking of the meeting, besides, PiS broke the law with the voting of the budget.",positive
Chętnie przyjadę 10 kwietnia do Warszawy skonfrontować się z tymi debilami :),I will gladly come to Warsaw on April 10 to confront these morons :),negative
i juz dupami trzesiecie ze strachu? przeciez plan jest taki aby wszystkich obecnych politykow wypierdolic... na calym swiecie... a potem przyjedzie nwo na bialym walachu...,"And you shake your ass with fear? After all, the plan is that all current policies will fuck ... all over the world ... and then the NWO will come on White Walach ...",negative
Zaloz butki i idz poboegaj lepiej. Nie osmieszaj sie Pan,Put on your shoes and go better. Do not drown out,negative
Drugie zdanie opisuje idealnie Pana partię.,The second sentence perfectly describes your party.,negative
A ty zaś kto ? Sprzedajnym pacholkiem nie wstyd ci być przed rodziną?,And you who? Selleful pachol is not ashamed to be before your family?,negative
"łysy 
ty jednak nienormalny jezdeś...","bald 
 However, you are abnormal ...",negative
Wypisz wymaluj Warszawa grudzień 2016 rok. Atak na konstytucyjne i demokratyczne organy państwowe,Write out paint Warsaw December 2016. Attack on constitutional and democratic state organs,negative
Brys ty cwelu sam to zrobiles pare lat temu,BRYS YOU CWEL did it yourself a few years ago,negative
Borys zwany ro...ny zwierazc😆. To tak jak wy prubowaliście przejąć władze. Patologi Obywatelska. Zbieranina szumowin i prostaków ekonomicznych. Szalety wam czyścić w Bangladeszu,Borys called ... Ny zwierzc😆. It was like you to take over the authorities. Civic pathologies. Complete of scum and economic simpletons. Clean the attachments in Bangladesh,negative
Przecież to obecna opozycja ciągle podważa instytucje publiczne w naszym kraju,"After all, this current opposition is constantly undermining public institutions in our country",negative
I dlatego po przegranych wyborach wylaziliscie na ulice?,And that's why after losing the elections you went out into the streets?,negative
"Jestem ciekaw co zrobicie jak nie wygracie wyborów Panie Budka?!? Już macie plan na 100 dni pierwszych rządów. Znaczy hasło macie, bo program to coś za bardzo skomplikowanego. Kiedyś był 6 ciopak Schetny którego sam autor nie znał 😂  i ci jak się nie uda, ulica?","I'm curious what you will do if you don't win the election Mr. Budka?!? You already have a plan for 100 days of first rule. You mean the slogan, because the program is something too complicated. There used to be 6 Ciopak chant, which the author himself did not know 😂 and if you fail, street?",negative
"Wszystkie ""denokratyczne"" wybory są ""demokratyczne"" pod warunkiem że żydoamerykanie obsadzą je swoimi ludźmi z WEF (young global leaders) w innym razie są niedomokratyczne.
Dlaczego wasz człowiek MM jest premierem w nierządzie pis? Bo jest ze stajni Schwaba.
I skończ pierdolić !","All ""denocratic"" choices are ""democratic"", provided that Jews will cast them with their people with WeF (Young Global Leaders) are otherwise non -mocratic. 
 Why is your MM man prime minister in PiS? Because he is from the Schwaba stable. 
 And finish fucking!",negative
"Czyli PO to już też lewaki uuuu, a tak krzyczeli na SLD przez co w ogóle zaistnieli w polityce 😬. Spektakularny upadek dziadostwa.","So for this also the Uuuu Lewaki, and they shouted at SLD so they even appeared in politics 😬. A spectacular fall of trash.",negative
"heheh .., no właśnie. Budka właściwie sam sobie strzelił w stopę tym wpisem. Przecież Lempart już stoi w bloczkach startowych do zadymy, w razie wygranej PiS.","heheh .., that's right. Budka actually shot himself in the foot with this entry. After all, Lempart is already standing in the starting blocks to the smoke, in the event of PiS win.",negative
A wam tylko ciamajdan wyszedł...,And only Ciamajdan came out ...,negative
"Niech pan obserwuję spokojnie , mocodawcy coraz bardziej dociskają, oni już nie wytrzymują ciśnienia , kwestia czasu jak któremuś żyłka pęknie.","Watch the Lord calmly, the principals are pressing more and more, they can't stand the pressure anymore, a matter of time as a fishing line bursts.",negative
"Proszę o przykład państwa stworzonego i rządzonego przez socjalistów, lewaków, w którym wszystko funkcjonuje OK.","I am asking for an example of a state created and ruled by socialists, leftists, in which everything works OK.",negative
"Ludzie nie mają, aż tak krótkiej pamięci jakby chcieli politycy, czy może mają ?","People do not have such a short memory as if politicians wanted, or maybe they have?",neutral
Ty jesteś opętany z tymi swoimi wpisami tego się nie da inaczej wytłumaczyć.,"You are possessed with your entries, you can't explain it otherwise.",negative
Tobie to tylko potrafili uciekać więźniowie z zakładów karnych ty specjalisto od wszystkiego 🤣,You could only run away prisoners from prison you specialist from everything 🤣,negative
"Dalej nie rozumiesz, co piszesz. To akurat wiem…",You still don't understand what you are writing. That's what I know ...,negative
Ty ..... zły człowieku.,You ..... bad man.,negative
Brzmi jak pioruny 🤡,Sounds like lightning 🤡,negative
Borysku - ty te wszystkie modrości po dziadziusiu odziedziczyłem,Borysko - I inherited all these models from the grandfather,negative
"Panie Borysie, może Pan już zapomniał, ale internet - szczególnie ""polski"" - nie zapomina o tym, że w momencie, kiedy Ukraina pierwszy raz zaznała cierpień z rąk rosyjskich bandytów, wy postanowiliście zdestabilizować kraj i dokonać puczu. Polacy wam tego nie zapomną.","Mr. Borys, maybe you have already forgotten, but the Internet - especially ""Poland"" - does not forget that at the time when Ukraine has suffered for the first time with the hands of Russian bandits, you decided to destabilize the country and make a couch. Poles will not forget you.",negative
Po ciebie też przyjdziemy. I nie jestem z PiS. Ciebie odwiedzi ktoś dużo bardziej radykalny.,We'll come for you too. And I'm not from PiS. Someone will visit you much more radical.,negative
"Co dziadek mówił? ""Jak podniesiesz rękę na władzę ludową,ty my tą rękę upierdolimy!""
🤣","What did my grandfather say? ""If you raise your hand on people's authority, we will annoy this hand!"" 
 🤣",negative
"Jak to było pp wybranej pisu?
Kody, lemparciary, madera.
Pamiętamy. Może jesteś idiotą, ale nie próbuj Polaków zarazić swoją chorobą.","How was the PP of the selected PiS? 
 Codes, lemparciaries, Madeira. 
 We remember. You may be an idiot, but don't try to infect Poles with your illness.",negative
Ty koleś nie pojebalo Ci się coś w bani ?? Kto namawiał do wyjaśnia na ulice ??,You guy didn't get something sucking? Who urged to explain to the streets ??,negative
"Borys mordeczko! Pamiętasz cytacik z ?
 „przyjdą silni ludzie i wyprowadzą prezesa”","Borys Mordeczko! Do you remember the cycle with? 
  ""Strong people will come and lead the president""",negative
"Przypomnę tylko: KOD, Radzio dożynający watahy i wiele innych - coś co to mówi chłopczyku w gaciach i marynarce?","Let me just remind you: the code, the wataha and many more - something that the boy says in his pants and the jacket?",negative
jak mogę mieć szacunek do instytucji publicznych jak widze w nich Was?,How can I have respect for public institutions as I see you in them?,negative
"P.Budka,przestań Pan już wypisywać te głupoty. Przypomnij sobie Pan wasze ataki na sejm i wasze pucze....może niech p.Mucha przypomni, raczej zaśpiewa....🙈","Mr. Budka, stop writing these stupid things. Remember your attacks on the Sejm and your teeth .... maybe let me remember, rather sing .... 🙈",negative
Dokładnie jak wy łysy Pojebie 😉😊🤪już niedługo wyborcy ci to przypomną tępy szmaciarzu...,"Exactly how you are bald, you will soon remind you of the blunt rag ...",negative
"a błyskawice, ataki na kościoły, przeszkadzanie w Mszy... macie racje nie zasługujecie na to by rządzić Polską...","And lightning, attacks on churches, disturbing mass ... You are right, you don't deserve to rule Poland ...",negative
"No właśnie Panie Budka ""nieuznawanie demokratycznych wyborów"" Jakie to Wam bliskie.....","Well, Mr. Budka ""not recognizing democratic choices"" how close to you .....",negative
"No Borysław, wreszcie prawdę o sobie napisałeś, szacun...","No Borysław, you finally wrote the truth about yourself, respect ...",negative
To jak w twojej formacji atak i okupowanie sejmu,It's like in your formation attack and occupying the Sejm,negative
"Jak my wygramy to jest dobra, a jak oni wygrają to nie jest dobra !","If we win it is good, and if they win it is not good!",negative
Budka Ty położyłeś się krzyżem przed Tuskiem i oddałeś władzę 😂😆.,The booth you lay down the cross in front of Tusk and gave power 😂😆.,negative
Ty gnojku antypolski też się sprzedałeś szhwabowi?,"You, anti -Polish bastard, did you also sell Szehwab?",negative
"Ptzypomnij sobie wasze ""zaakceptowanie"" wyników wyborów w grudniu 2016...","Remember your ""accepting"" election results in December 2016 ...",negative
budka hipokryto z krotka jak wlosy pamiecia... przypomnij sobie wasze blokowanie sejmu. ciamajdy i ciamajdan,Hypocrite booth with a short like a memory of remembering ... Remember your blocking of the Sejm. Ciamajdy and Ciamjajdan,negative
Ty głupszy jednak jesteś od swojego łysego protoplasty Gomuły.,"You are stupid, however, from your bald Gomuła progenitor.",negative
„Nieuznawanie demokratycznych rozstrzygnięć”  pięknie sie podsumowałeś populisto dla lemingów,"""Not recognizing democratic decisions"" you summed up beautifully for lemmings",negative
Przypomnieć ci Łysy durniu co w 2016 roku odpierdoliliście w Sejmie?,Remind you bald durnia what in 2016 did you fuck out in the Sejm?,negative
"Nie dziw się tyle bo zostaniesz ""platformianym myśliwym""🤣😂🤣","Do not be surprised because you will become a ""platform hunter"" 🤣hetic",negative
"Co masz na mysli, Prawego tuska ruska......???","What do you mean, right Tusk Ruska ...... ???",negative
Diduszko już wstał ??,Diduszko has already got up ??,negative
O ciamajdanie nie zapomnieliśmy.,We haven't forgotten about Ciamjan.,negative
BB zrobił mi dzień. Czy też raczej wieczór. Dawno się tak nie ubawiłam :D,BB made me a day. Or rather evening. I haven't had it so long ago: D,negative
"Po lekturze pańskich mądrości nachodzi mnie inna: otóż ci którzy zdradzają własny naród i ojczyznę nie zasługują na to by nie stanąć przed trybunałem stanu. Przepraszam za stopień grafomaństwa i egzaltacji, ale musiałem dostosować poziom. Zdecydowanie nie pozdrawiam","After reading your wisdom, I am different: Well, those who cheat on their own nation and homeland do not deserve not to stand before the State Tribunal. I apologize for the degree of graphomanity and exaltation, but I had to adjust the level. I definitely don't greet you",negative
Mów o swoim szacunku w 2016 roku i puczu Szczerby.,Talk about your respect in 2016 and Szczerba Pucz.,negative
Ale żeś się po raz n-ty skompromitował 😂😂😂,But you've compromised for the n-one for the n-time 😂😂cut,negative
Przeciez Twoja zona na L4 wychodzila z domu wiec hipokryto zamilcz,"After all, your wife on l4 leave the house so hypocrry silent",negative
Tylko diabelskich rogów brak,Only devilish horns are missing,negative
Jeden ziewa drugi śpiewa trzeci rży,One yawn the other sings the third rumps,negative
Cos ci sie POjebalo.,You fucked up something.,negative
Bo nie trudno głupa znaleźć,Because it's not hard to find,negative
"Nie wzywał do tzw. ""obrony kościołów""? Krótka pamięć to wasza cechą pisdzielcy.","He did not call for the so -called ""Church Defense""? Short memory is your feature of the writer.",positive
Tworki miały przepustkę,Tworki had a pass,negative
"ale to zdarzenia archiwalne i nie można ich pamiętać ( i przytaczać 😵‍💫), bo dziś pan Borys już tak nie robi 😐. Są tacy, którzy historię co dzień piszą od nowa. Na szczęście takich co nie mają deficytów pamięci, jest sporo i ich pan Borys nie po-kręci .","But these are archival events and they cannot be remembered (and cited 😵‍💫), because today Mr. Boris does not do that anymore 😐. There are those who write history again. Fortunately, those who do not have memory deficits are a lot and their Mr. Boris will not have a shoe.",negative
Teściowa Tuska wyda wyrok,Tusk's mother -in -law will issue a verdict,negative
zamach na  zus to twoje dzielo?,ZUS attack is your work?,negative
Budka ty z zawodu jesteś debilem czy z zamiłowania ??😂😂,Budka you by profession are you a moron or by passion ?? rol you,negative
Masz rację Borysławie. Tylko Ty i Twoi kolesie zasługujecie żeby być przy korycie.,You are right Borysław. Only you and your guys deserve to be by the trough.,negative
👍👍👍,Ressive,positive
Baran z krótką pamięcią...,A ram with short memory ...,negative
"Ja bym Was wszystkich przerobił przez wariograf ale na żywo w TV, skoro do niektórych służb jest wymagane to i tutaj powinien być obowiązek, by wykluczyć opcje inne niż Polska, żadne niemieckie, rosyjskie, żydowskie itd ! Polski parlament tylko dla Polaków!","I would convert you all through a variography, but live on TV, since some services are required, there should be an obligation to exclude options other than Poland, no German, Russian, Jewish etc.! Polish parliament only for Poles!",negative
"Mistrzu hipokryzji, a kto blokował sejm? Masz ludzi za debili???","Master of hypocrisy, and who blocked the Sejm? Do you have people for morons ???",negative
Polska wersja nie uznawania wyników wyborów!,Polish version not recognizing the results of the election!,negative
Od kiedy KO i KOD są prawiakami? Skandaliczny ksenofobiczny i dyskryminacyjny wpis skierowany wobec społeczności konserwatywnych!,Since when are KO and the code right? A scandalous xenophobic and discriminatory entry directed towards conservative communities!,negative
"Grudniowa awantura z 2016 roku rozpoczęła się od forsowania przez PiS przepisów ograniczających dostęp dziennikarzy do budynków Sejmu. Podczas żywiołowej dyskusji z posiedzenia wykluczony został poseł Platformy Obywatelskiej Michał Szczerba , który pokazał  kartke""#wolneMedia""","The December brawl from 2016 began with PiS forcing regulations limiting journalists' access to the buildings of the Sejm. During the spontaneous discussion from the meeting, MP of Platforma Obywatelska was excluded, Michał Szczerba, who showed the card ""#wolnnemedia""",negative
"Jasne, przynajmniej nie udajesz, że zależy ci na czymkolwiek innym niż wykoszenie konkurencji.","Sure, at least you do not pretend that you care about anything other than doing competition.",negative
"Faktycznie? Władza się należy wyłącznie ""lewym populistom"" i nie tylko w UE. Księżyc też będzie nasz.","Really? Power belongs only to ""left populists"" and not only in the EU. The moon will also be ours.",neutral
W końcu prawdę napisałeś o sobie i POpaprańcach!!,"Finally, you wrote the truth about yourself and the popters !!",negative
Wypisz wymaluj,Write paint,neutral
"Oglądasz, oglądasz. Sypiesz paskami z TVP jak z rękawa. Nie wstydź się xD","You watch, watch. You put TVP stripes like a sleeve. Don't be shy xD",positive
Towarzyszu Wudka do izby wytrzeźwień. Co robiłeś parchu na ulicach ty demokrato j... ny. Legalnych wyborów nie uznajesz. Hipokryta precz z komuną,Comrade Wudek to the sobering -up room. What did you do on the streets of you democrato. You don't recognize legal elections. Hypocrite with communism,negative
Goń się gamoniu …,Gień Gamoniu ...,negative
"Brazylijskie lewactwo odstawia bandyterkę podobną do waszej putinowskiej jak i Łukaszenki - a ty piszesz o tym, do czego zdolna jest prawica? Tak, strach przed wyborczą POrażką to wspólny mianownik lewackich populistów. Wy nie zasługujecie, by rządzić jakimkolwiek krajem.","Brazilian leftism puts a banditer similar to your Putin and Lukashenko - and you write about what the right is capable of? Yes, fear of an election defeat is a common denominator of leftist populists. You don't deserve to rule any country.",negative
Zakiwał się sam 😂,He was bending himself 😂,negative
Idzi sie lecz kochany jak by Tak wszychcy polacy mysleli to polska by dalej byla PL POD zaborem ruskim!!!,"He goes but lovely, as if the Poles thought, Poland would continue to be under the Russian partition !!!",negative
"Nie ogladam o czasu śpiewania ""Sto lat"" Tuskowi.","I don't watch Tusk to sing ""one hundred years"".",negative
Oj Borys Borys,Oj Borys Borys,negative
To tak jak wy odstawialiście cyrk  w sejmie zapomniał wół jak cielęciem był i wy nie zasługujecie by rządzić czymkolwiek. A pedofile dalej są u was w partii,It was just like you set aside the circus in the Sejm forgot an ox as a calf was and you don't deserve to rule anything. And pedophiles are still in your party,negative
"To nie jest paranoja jak twierdzi Pan M. Jakubiak to albo objaw choroby psychicznej u Pana Budki albo totalnej, bezgranicznej obłudy","This is not paranoia, as Mr. M. Jakubiak claims, it is either a symptom of a mental illness at Mr. Budka or total, boundless hypocrisy",negative
"Elity to nie bogowie. Smiertelni, przestraszeni, bywa, ze rowniez skorumpowani. Nie ma co ich pod niebiosa wychwalac.","The elites are not gods. Smartel, scared, sometimes corrupt. There are nothing to praise them under the heavens.",neutral
"W. Cz. Panie Budka. Rozumiem że mam Pan zwoleników totalnej opozycji za totalnych tępaków. Oburza się Pan na coś, w czym sam uczestniczył i do czego namwiał.",W. Cz. Mr. Budka. I understand that I have propellers of total opposition for total dumbfounds. You are indignant at something he participated in and what he was thinking about.,negative
Polecam Panu film PUCZ.,I recommend the movie to you.,negative
"Tępak Lenin,","Lenin dumb,",negative
Ale pan pierdzielisz głupoty.,But Mr. Pierzdzieście stupid.,negative
Teściowa Tuska już obmyśla kare,Tuska's mother -in -law is already thinking about kare,negative
"Co za hipokryta matko, jakim trzeba być zakłamanym człowiekiem by teraz tak pleść. Jak ty patrzysz w lustro 🤢🤢","What a hypocrite mother, which you have to be a hypocritical man to mold now. How do you look in the mirror 🤢🤢",negative
ty się lepiej już nie odzywaj . Twoi poplecznicy nie takie numery robili.,You don't speak better anymore. Your supporters did not make such numbers.,negative
"Ponoć wykładowca, a z pamięci tak licho? Hipokryzja do potęgi.","Apparently a lecturer, and so bad from memory? Hypocrisy to power.",negative
"Milcz szczurze,wstydu oszczędź😎","Silence of the rat, saving shame",negative
Zapomniałeś pan grudzień 2016 r. I wasze sejmowe burdy???,Did you forget December 2016 and your Sejm Burdy ???,negative
Powtórz,Repeat,neutral
Kto okupował nielegalnie Sejm w Wigilię po przegranych wyborach????,Who occupied the Sejm illegally on Christmas Eve after losing elections ????,negative
A okupacja sali sejmowej?,And the occupation of the Sejm Hall?,negative
Borys straszne macie te leki przed wyborami 😂😂😂 trzeba by się do specjal8sty wybrać wkoncu hipokryto.,Borys terrible you have these drugs before the election 😂😂cut you would have to go to the hypocrite.,negative
Do budy!,To Doghouse!,negative
A wy macie szacunek do naszych polskich instytucji?,Do you have respect for our Polish institutions?,negative
Ty mały łysy prowokatorze 🤮🤮,You little bald provocateur 🤮🤮,negative
ty jebana POstkomunistyczna szmato przyPOmnij wszystkim kto próbował zrobić zamach stanu w Polsce na demokratycznie wybrany rząd,"You, a post -communist rag, remind everyone who tried to make a coup in Poland for a democratically elected government",negative
"Dorośli w piaskownicy? Twoja matka albo żałowała, że cię urodziła, albo miała zajebisty ubaw z twoich 15stu świadectw z podstawówki co?🤣😂🤣😂",Adults in the sandbox? Your mother either regretted that she gave birth or had awesome fun with your 15th primary school certificates Co?,negative
"lemparowa i jej kumpelki, KODowcy robią to samo i wtedy mówicie że mają prawo do emocji Pitolicie kiedy i jak wam pasuje","Lemparowa and her buddies, coders do the same and then you say that they have the right to emotion pitolitia when and how it suits you",negative
"Budka, kto zrobił #ciamajdan ?
Zaślepiony nienawiścią mylisz podstawowe fakty.","Budka, who did #ciamajdan? 
 Blinded by hatred, you confuse basic facts.",negative
"I my też wkrótce pożegnamy naszych ""prawych"" populistów.","And we will soon say goodbye to our ""right"" populists.",positive
"Borys, co ci chłopie się stało? Słońca nie ma a ty udaru dostałeś?
Przecież to #PO &amp; #PSL zorganizowała jako światowy trendseter ""puczyzmu"", pucz i okupację Sejmu oraz uliczny atak na niego. Była nawet ofiara z błogosławionego Diduszki😂
Jak Ty te studia skończyłeś z takim IQ ?","Borys, what is your man? There is no sun and you got a stroke? 
 It's #po & amp; #PSL organized as a global trendseter of ""Puczyzm"", coup and occupation of the Sejm and a street attack on him. There was even a sacrifice from the blessed Diduszkarap 
 How did you graduate with such IQ?",negative
Jawna deklaracja lewackosci ? Lewackich  szmaciorow jak Lenin Stalin I cała banda Kim Dzongow rozumiem że masz za bohaterów.,An explicit leftist declaration? Leftist rags like Lenin Stalin and a whole band of Kim Jongow I understand that you have the heroes.,negative
😂😂😂😂😂😂😂😂 Budka,😂😂cut,negative
"Kopiuj-wklej. Centrala kazała, wszyscy totalni piszą to samo. Co trzeba mieć w głowie żeby tak po prostu, coś od siebie. Nie można z głowy bo tam niczego nie ma?","Copy paste. The headquarters ordered, all totals write the same. What you have to have in your head to just, something from yourself. You can't get out of your head because there is nothing there?",negative
"""Okupacja sejmu w 2016 roku""","""Occupation of the Sejm in 2016""",negative
"To może przypomnijmy.
Opozycja. 
Cokolwiek przewidywali i prognozowali zarówno w sferze gospodarczej jak i politycznej wystawiło ją na miano co najmniej glupców.

Nie wspominając o odium zdrajców polskiej racji stanu.","Maybe let's remind you. 
 Opposition. 
 Whatever they predicted and forecasted in both the economic and political sphere, she put her as at least stupid. 

 Not to mention the odium of the traitors of the Polish raison d'etat.",negative
"Neo sędziowie, neo krs, trybunał Przyłębskiej, tak wasz szacunek do instytucji państwowych jest powrzechnie znany. Ale bezczelności odmówić nie można.","Neo judges, Neo KRS, Przyłębska Tribunal, so your respect for state institutions is known. But insolence cannot be denied.",negative
Komuna wyssana z mlekiem matki...😀,Commune sucked in with mother's milk ... 😀,negative
"Palec do budki, budka się zamyka...","Finger to the booth, the booth closes ...",negative
Mówi to ten co chciał zrobić w Polsce Ciamajdan.,The one he wanted to do in Poland says Ciamajdan.,negative
Na szacunek trzeba sobie zasłużyć. Jak będziecie dalej ludzi wkurwiać to przypomnimy wam jak się władzę zmieniało i gdzie jest wasze miejsce.,"You have to deserve respect. If you continue to piss off people, we'll remind you how power has changed and where your place is.",negative
"Wygląda jak atak na Capitol....Aa nie.., czekaj... 🤭","Looks like an attack on capitol .... AA no ..., wait ... 🤭",negative
A mi te zamieszki wyglądają jak wasze spędy koderastów i ciamajdan.  Pomyśl zanim coś napiszesz.,"And for me, these inhabitants look like your coders and ciamjajdans. Think before you write something.",negative
"PObudka marzy ci się noc w sejmie, piosenki, pasztety mucha i nitro latający Po cudzych torebkach ..droga wolna.... więc nie komentuj innych","Wake up, you dream of a night in the Sejm, songs, fly pies and nitro flying over someone else's bags ... free cana ... so don't comment on others",negative
"xD Tak wygląda wkurwione społeczeństwo, nie wskaże palcem kto jest za to odpowiedzialny.","xD This is what the pissed off society looks like, will not indicate with the finger who is responsible for it.",neutral
Sierota intelektualna 😂😂😂,Intellectual orphan,negative
"Że też ty, patrząc w lustro, sam sobie w pysk nie napluleś","That you also, looking in the mirror, do not spit yourself in your mouth",negative
"No debil no idiota, hipokryta w dodatku z jakimiś bramkami w pamięci. To same żeście wy robili towarzyszu Budka. Wasze ""oddolne"" ruchy kodomitów czy okupacja sejmu.","Well, idiot, a hypocrite with some goals in memory. It's yourself that you did Comrade Budka. Your ""bottom -up"" kodomite movements or occupation of the Sejm.",negative
Nie pucz kiedy odjadę. Wy nie możecie się pogodzić z wyborem demokratycznym od 2015. Wasze SBeckie psy gończe z TVN i Lisem na czele próbują podpalać Polskę. Dzielicie Polaków a na ustach macie hasła których używacie tylko do celów politycznych i nie macie z nimi nic wspólnego,Don't let when I go. You cannot accept the democratic choice since 2015. Your Sbetsk hounds with TVN and the fox at the forefront are trying to set fire to Poland. You divide Poles and on your lips you have slogans that you use only for political purposes and you have nothing to do with them,negative
I to wszystko dzięki Wam 🤔,And all this thanks to you 🤔,negative
"Chuj mnie to obchodzi, jak i twoja siostra","I care about it, like your sister",negative
"Gościu, odwracasz kota ogonem. Przypomnij sobie, kto namawia do takich zachowań? Bo cała wasza banda tak się właśnie zachowuje. Prawi tak nie robią. Do dziś nie możecie zaakceptować demokratycznych rozstrzygnięć.","Guest, you turn the cat with your tail. Remember who urges such behavior? Because all your bunch behaves like this. They don't do that. To this day, you cannot accept democratic decisions.",negative
Hahaha nieuznawanie demokratycznych rozstrzygnięć :D,Hahaha not recognizing democratic decisions: D,negative
"Był jakiś szturm PO na parlament po wyborach? Bo nie pamietam. A ze wybory nie były równe, to fakt, a nie opinia.","Was there any assault of PO on parliament after the election? Because I do not remember. And that the elections were not equal, it is a fact, not an opinion.",negative
"Darzy sie wam ,szarpiecie dojną Polskę aż iskry lecą,więc tak szybko nie odpuścicie","You have, tugging Poland will go until sparks are flying, so you won't let go so quickly",negative
Budka obudź się a co było 2016?,Budka wake up and what was 2016?,negative
